1	522	16.14%	522	38.44%	5318865	15.53%	0	0.00%	172.92.217.114
2	227	7.02%	201	14.80%	445244	1.30%	24	2.68%	97.113.195.184
3	106	3.28%	95	7.00%	7323844	21.39%	5	0.56%	174.6.84.196
4	105	3.25%	82	6.04%	232607	0.68%	12	1.34%	198.73.178.234
5	105	3.25%	76	5.60%	536672	1.57%	4	0.45%	199.30.250.54
6	92	2.84%	75	5.52%	154354	0.45%	8	0.89%	97.113.195.234
7	91	2.81%	82	6.04%	266	0.00%	7	0.78%	216.73.216.81
8	84	2.60%	75	5.52%	127297	0.37%	8	0.89%	75.172.10.116
9	51	1.58%	42	3.09%	2810078	8.21%	3	0.34%	169.204.230.186
10	44	1.36%	25	1.84%	219151	0.64%	1	0.11%	24.56.250.176
11	39	1.21%	31	2.28%	2277134	6.65%	2	0.22%	208.71.163.202
12	35	1.08%	19	1.40%	1395	0.00%	25	2.80%	192.178.6.33
13	35	1.08%	31	2.28%	43141	0.13%	2	0.22%	75.109.192.102
14	33	1.02%	32	2.36%	4006891	11.70%	2	0.22%	67.168.175.242
15	32	0.99%	29	2.14%	1505069	4.39%	1	0.11%	73.238.39.91
16	30	0.93%	20	1.47%	521	0.00%	22	2.46%	192.178.6.34
17	30	0.93%	14	1.03%	749622	2.19%	2	0.22%	90.28.27.82
18	28	0.87%	27	1.99%	198725	0.58%	1	0.11%	174.61.177.11
19	28	0.87%	11	0.81%	701	0.00%	14	1.57%	192.178.6.35
20	25	0.77%	16	1.18%	461051	1.35%	2	0.22%	172.92.201.47
21	24	0.74%	23	1.69%	279964	0.82%	1	0.11%	73.239.239.113
22	23	0.71%	14	1.03%	44	0.00%	5	0.56%	162.127.135.100
23	20	0.62%	20	1.47%	37	0.00%	20	2.24%	142.244.64.73
24	18	0.56%	13	0.96%	2341787	6.84%	1	0.11%	69.172.151.16
25	17	0.53%	9	0.66%	478	0.00%	8	0.89%	216.73.216.57
26	17	0.53%	14	1.03%	419119	1.22%	2	0.22%	73.193.80.21
27	13	0.40%	12	0.88%	108942	0.32%	2	0.22%	136.25.134.28
28	13	0.40%	12	0.88%	445635	1.30%	0	0.00%	193.49.103.241
29	12	0.37%	9	0.66%	530732	1.55%	2	0.22%	101.99.177.28
30	12	0.37%	11	0.81%	21192	0.06%	1	0.11%	168.99.13.163
