1	522	18.79%	522	45.87%	5318865	17.50%	0	0.00%	172.92.217.114
2	162	5.83%	151	13.27%	357940	1.18%	18	2.41%	97.113.195.184
3	106	3.82%	95	8.35%	7323844	24.10%	5	0.67%	174.6.84.196
4	92	3.31%	75	6.59%	154354	0.51%	8	1.07%	97.113.195.234
5	91	3.28%	82	7.21%	266	0.00%	7	0.94%	216.73.216.81
6	84	3.02%	75	6.59%	127297	0.42%	8	1.07%	75.172.10.116
7	75	2.70%	57	5.01%	222275	0.73%	7	0.94%	198.73.178.234
8	53	1.91%	46	4.04%	291311	0.96%	2	0.27%	199.30.250.54
9	44	1.58%	25	2.20%	219151	0.72%	1	0.13%	24.56.250.176
10	37	1.33%	30	2.64%	696393	2.29%	2	0.27%	169.204.230.186
11	35	1.26%	31	2.72%	43141	0.14%	2	0.27%	75.109.192.102
12	33	1.19%	25	2.20%	2002679	6.59%	2	0.27%	208.71.163.202
13	33	1.19%	32	2.81%	4006891	13.19%	2	0.27%	67.168.175.242
14	32	1.15%	29	2.55%	1505069	4.95%	1	0.13%	73.238.39.91
15	30	1.08%	14	1.23%	749622	2.47%	2	0.27%	90.28.27.82
16	28	1.01%	27	2.37%	198725	0.65%	1	0.13%	174.61.177.11
17	27	0.97%	14	1.23%	789	0.00%	20	2.67%	192.178.6.33
18	25	0.90%	18	1.58%	509	0.00%	18	2.41%	192.178.6.34
19	24	0.86%	23	2.02%	279964	0.92%	1	0.13%	73.239.239.113
20	22	0.79%	8	0.70%	360	0.00%	12	1.60%	192.178.6.35
21	18	0.65%	13	1.14%	2341787	7.71%	1	0.13%	69.172.151.16
22	17	0.61%	17	1.49%	31	0.00%	17	2.27%	142.244.64.73
23	17	0.61%	9	0.79%	478	0.00%	8	1.07%	216.73.216.57
24	13	0.47%	12	1.05%	108942	0.36%	2	0.27%	136.25.134.28
25	13	0.47%	12	1.05%	445635	1.47%	0	0.00%	193.49.103.241
26	12	0.43%	9	0.79%	530732	1.75%	2	0.27%	101.99.177.28
27	12	0.43%	11	0.97%	21192	0.07%	1	0.13%	168.99.13.163
28	11	0.40%	10	0.88%	244548	0.80%	1	0.13%	71.231.224.30
29	11	0.40%	8	0.70%	404202	1.33%	1	0.13%	73.193.80.21
30	11	0.40%	10	0.88%	287896	0.95%	1	0.13%	73.239.95.126
