1	522	14.84%	522	34.80%	5318865	14.47%	0	0.00%	172.92.217.114
2	276	7.85%	243	16.20%	514746	1.40%	29	2.97%	97.113.195.184
3	153	4.35%	125	8.33%	574974	1.56%	16	1.64%	198.73.178.234
4	116	3.30%	83	5.53%	564901	1.54%	5	0.51%	199.30.250.54
5	106	3.01%	95	6.33%	7323844	19.93%	5	0.51%	174.6.84.196
6	92	2.62%	75	5.00%	154354	0.42%	8	0.82%	97.113.195.234
7	91	2.59%	82	5.47%	266	0.00%	7	0.72%	216.73.216.81
8	84	2.39%	75	5.00%	127297	0.35%	8	0.82%	75.172.10.116
9	51	1.45%	42	2.80%	2810078	7.65%	3	0.31%	169.204.230.186
10	44	1.25%	25	1.67%	219151	0.60%	1	0.10%	24.56.250.176
11	41	1.17%	33	2.20%	2756006	7.50%	2	0.20%	208.71.163.202
12	40	1.14%	21	1.40%	1407	0.00%	28	2.86%	192.178.6.33
13	36	1.02%	17	1.13%	981	0.00%	21	2.15%	192.178.6.35
14	35	1.00%	31	2.07%	43141	0.12%	2	0.20%	75.109.192.102
15	33	0.94%	32	2.13%	4006891	10.90%	2	0.20%	67.168.175.242
16	32	0.91%	29	1.93%	1505069	4.09%	1	0.10%	73.238.39.91
17	31	0.88%	20	1.33%	523	0.00%	22	2.25%	192.178.6.34
18	30	0.85%	14	0.93%	749622	2.04%	2	0.20%	90.28.27.82
19	28	0.80%	27	1.80%	198725	0.54%	1	0.10%	174.61.177.11
20	25	0.71%	16	1.07%	461051	1.25%	2	0.20%	172.92.201.47
21	25	0.71%	13	0.87%	1149	0.00%	11	1.12%	216.73.216.188
22	24	0.68%	23	1.53%	279964	0.76%	1	0.10%	73.239.239.113
23	23	0.65%	23	1.53%	41	0.00%	23	2.35%	142.244.64.73
24	23	0.65%	14	0.93%	44	0.00%	5	0.51%	162.127.135.100
25	22	0.63%	19	1.27%	426669	1.16%	3	0.31%	73.193.80.21
26	18	0.51%	17	1.13%	152707	0.42%	1	0.10%	67.183.182.168
27	18	0.51%	13	0.87%	2341787	6.37%	1	0.10%	69.172.151.16
28	17	0.48%	9	0.60%	478	0.00%	8	0.82%	216.73.216.57
29	13	0.37%	12	0.80%	108942	0.30%	2	0.20%	136.25.134.28
30	13	0.37%	12	0.80%	445635	1.21%	0	0.00%	193.49.103.241
