radical	definition	lines
ləx̌	be light, be bright, be illuminated	1,3
bəsad	be dark	2,22,55
had	talk	3
čal	chase; catch.	16,69,71,83,86,87,88,93
kʷəd	be taken	3,4,36,37,46,74,77,81,104

